label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days,case,regime,exit,entry_gate,min_ratio,max_positions,active_slot
crash_repair_best_existing,2020-02-19,2020-06-30,93,922283.5623669665,-7.771643763303349,1037468.6300959504,3.746863009595036,12.489116409423007,-33.86607968700446,36,18,18,18,22.22222222222222,-4.048563795681857,-7.961438250314091,12.944444444444445,us_bear_crash_2020_split,bear_crash,break_big_bull_low,spy_above_ma5_and_ma5_up,0.6,none,50000.0
crash_repair_ma20_capped10,2020-02-19,2020-06-30,93,922283.5623669665,-7.771643763303349,1032456.335819303,3.2456335819303073,11.945650768141958,-33.62402575919297,21,11,10,11,9.090909090909092,-11.073451512415229,-14.397095872465627,23.363636363636363,us_bear_crash_2020_split,bear_crash,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.6,10,50000.0
crash_repair_ma10_60_capped10,2020-02-19,2020-06-30,93,922283.5623669665,-7.771643763303349,997958.7579360127,-0.20412420639872586,8.205198342127229,-33.77197865660617,22,12,10,12,8.333333333333332,-7.417588252235495,-12.841777949380162,16.416666666666668,us_bear_crash_2020_split,bear_crash,break_big_bull_low,spy_above_ma10,0.6,10,50000.0
crash_repair_capped10,2020-02-19,2020-06-30,93,922283.5623669665,-7.771643763303349,996933.658575238,-0.30663414247620313,8.094050382583863,-33.86607968700446,20,10,10,10,10.0,-5.941505938544511,-10.861346467800576,15.7,us_bear_crash_2020_split,bear_crash,break_big_bull_low,spy_above_ma5_and_ma5_up,0.6,10,50000.0
current_robust_bear_rule,2020-02-19,2020-06-30,93,922283.5623669665,-7.771643763303349,988097.0794659927,-1.190292053400721,7.135930833476101,-34.50612360595503,22,12,10,12,8.333333333333332,-11.742343064656959,-15.022146552839239,21.166666666666668,us_bear_crash_2020_split,bear_crash,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.55,10,50000.0
downtrend_ma10_min_55,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,869354.5829762977,-13.064541702370224,6.545835420529755,-21.69943087060382,44,35,9,35,17.142857142857142,-5.587197192703526,-6.888383405899967,57.42857142857143,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.55,10,50000.0
downtrend_ma10_min_60,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,868491.8741838785,-13.150812581612147,6.440104075905961,-21.78052751263634,43,34,9,34,17.647058823529413,-5.7121964305957205,-7.231846805068937,59.088235294117645,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.6,10,50000.0
downtrend_ma10_min_65,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,795744.6804561745,-20.42553195438255,-2.4756026817228327,-28.310532665474664,38,30,8,30,10.0,-10.055101709465616,-10.022679535191681,51.3,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.65,10,50000.0
downtrend_ma10_min_70,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,795744.6804561745,-20.42553195438255,-2.4756026817228327,-28.310532665474664,38,30,8,30,10.0,-10.055101709465616,-10.022679535191681,51.3,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.7,10,50000.0
downtrend_ma10_min_70_penalty_exit,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,789066.2307005823,-21.093376929941776,-3.29409610484086,-27.13055159762755,102,102,0,102,30.392156862745097,-1.288087621359023,-1.2881212194917113,6.7254901960784315,us_bear_downtrend_2022_split,bear_downtrend,penalty_adjusted_score_lt_20pct,spy_above_ma10,0.7,10,50000.0
downtrend_ma20_min_65,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,788718.9732423159,-21.12810267576841,-3.336655075278816,-29.47439834973945,44,37,7,37,16.216216216216218,-8.777482363622704,-8.552503838820124,49.0,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.65,10,50000.0
downtrend_ma20_min_70,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,788718.9732423159,-21.12810267576841,-3.336655075278816,-29.47439834973945,44,37,7,37,16.216216216216218,-8.777482363622704,-8.552503838820124,49.0,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.7,10,50000.0
downtrend_ma10_min_75,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,786443.1910707527,-21.355680892924735,-3.6155690160947995,-28.62188883209944,32,24,8,24,8.333333333333332,-10.433152225085946,-9.580495204229667,37.291666666666664,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.75,10,50000.0
downtrend_ma10_min_80,2022-01-03,2022-12-30,251,815944.2173830722,-18.405578261692778,780356.704183532,-21.96432958164679,-4.3615130104945,-28.85465461689415,28,21,7,21,9.523809523809524,-10.212197316700806,-10.599163680032031,38.666666666666664,us_bear_downtrend_2022_split,bear_downtrend,break_big_bull_low_and_vol_1_3x,spy_above_ma10,0.8,10,50000.0
